depmap_id,cell_line_display_name,H3K4me0,H3K4me1,H3K4me2,H3K4ac1,H3K9me0K14ac0,H3K9me1K14ac0,H3K9me2K14ac0,H3K9me3K14ac0,H3K9ac1K14ac0,H3K9me0K14ac1,H3K9me1K14ac1,H3K9me2K14ac1,H3K9me3K14ac1,H3K9ac1K14ac1,H3K18ac0K23ac0,H3K18ac1K23ac0,H3K18ac0K23ac1,H3K18ac1K23ac1,H3K18ac0K23ub1,H3K27me0K36me0,H3K27me0K36me1,H3K27me0K36me2,H3K27me0K36me3,H3K27me1K36me0,H3K27me1K36me1,H3K27me1K36me2,H3K27me1K36me3,H3K27me2K36me0,H3K27me2K36me1,H3K27me2K36me2,H3K27me3K36me0,H3K27me3K36me1,H3K27ac1K36me0,H3K27ac1K36me1,H3K27ac1K36me2,H3K27ac1K36me3,H3.3K27me0K36me0,H3K56me0,H3K56me1,H3K79me0,H3K79me1,H3K79me2
ACH-000617,OVCAR4,0.13479556,0.22166084,-0.0488082,-0.4102827,0.22072196,0.095429465,-0.22564086,0.3900494,-0.3920429,0.023391083,-0.4305218,-1.1892161,-0.5584699,-0.86616075,-0.0644297,-0.49059737,-0.54634815,-0.33831623,0.31503043,-0.14646907,-0.6382484,-1.6637237,-0.98737746,0.056338247,-0.6554565,-0.34858885,0.12260535,0.16391587,-0.097530134,-0.055845533,0.61500376,0.7034709,-0.08467997,-0.6672935,-0.95350283,-1.441895,-0.56772983,-0.16150361,0.24723221,0.20699076,-0.6793144,-1.6720766
ACH-000646,OVMANA,-0.4462314,-0.4707889,-0.42877445,-0.925581,-0.40937474,-0.07738724,-0.21936914,-0.1560957,-0.6537277,-0.46994904,-0.8205634,-0.6312407,-0.33317003,-0.6305605,-0.4090401,-0.5452833,-1.2787589,-0.4748329,,-0.28083453,-0.7948405,-0.5691266,-0.087854885,0.19513479,-0.77753973,-0.3558576,-0.33903483,0.5102993,-0.9469,-1.3115611,0.1844662,-0.74195784,-0.21989496,-1.2588123,-0.67152274,0.42512897,-0.7713046,-0.29560223,,-0.28740904,-0.36965504,0.03787464
ACH-000657,A2780,-0.03367912,0.06794885,-0.04686502,-0.6823673,0.07240967,0.3598365,0.082940295,-0.4938813,-0.49727055,-0.07384501,0.1399451,0.09570154,-0.2554216,-0.50288725,0.000528842,-0.19776209,0.005204633,0.37842515,0.033689156,-0.35962927,-0.07965789,-0.19976498,-0.07788814,0.19070132,-0.25351653,0.593848,0.69227993,-0.23300639,-0.44002965,0.07421019,0.679769,-0.2676647,0.08162557,0.05581243,0.44453385,-0.00192475,-0.22204834,-0.017352678,-0.23142987,-0.06777502,0.08399107,0.49927852
ACH-000663,OVTOKO,-0.33678687,-0.21568419,-0.16041373,-3.3822222,0.21817905,-0.0674701,-0.03372749,0.24868323,0.36636028,-0.44228545,-0.6982808,-0.5378648,-0.32989547,0.20026028,0.065275356,-0.004011443,-0.5937513,-0.19277382,-2.1714494,0.8488521,0.40893027,0.17151819,0.026566092,0.45985347,0.15588115,0.19290617,-0.018575164,0.32526898,-0.2600395,-0.4480874,-0.32024512,-0.4624586,0.6126552,0.10181753,0.84553516,0.76957005,0.20086756,-0.10974815,-0.17179203,-0.13784043,0.012087733,0.038158987
ACH-000688,OV7,-0.09025048,-0.31733772,-0.54372317,-0.04064641,-0.37204048,-0.22811072,0.06022398,0.34928158,-0.034852486,-0.36875182,-0.2026745,-0.2582054,-0.018445725,-0.031753052,-0.085041925,-0.31495166,-0.52171385,-0.3020208,,1.0900021,-0.030854827,-0.10023981,0.33865365,0.71913034,-0.25580564,-0.3690683,-0.062506475,-0.44109806,-0.22874875,-0.48859525,-0.02619511,-0.124050945,0.90576977,0.43638203,0.737056,0.72717637,0.28091934,-0.2499209,,-0.15053087,0.009139898,0.2553386
ACH-000696,OVCAR8,-0.10546195,0.43347055,0.27539822,1.491546,0.15682417,0.032183558,-0.19224271,-0.51613086,-0.17610146,0.8655587,0.58844554,0.2380616,-0.23855045,0.53863806,-0.31887928,2.216068,0.16210376,2.1666849,-0.23836234,0.12080244,0.86067164,1.1322339,0.69444054,-0.8505959,0.4676287,1.5061572,0.34451163,-1.4648093,-0.5938951,0.85160995,-0.9227384,-1.0724679,2.858373,3.7115757,3.3312492,3.2322865,0.7809909,0.17051555,0.21520863,0.07219688,-0.16091844,-0.19338828
ACH-000701,RMUGS,0.25331894,0.66964203,0.08397924,0.49279955,0.6504163,0.01582274,-0.50775284,0.38100076,1.0896869,0.71439075,0.46986154,-0.52306175,-0.24344426,1.161329,0.08392908,0.74503404,0.21810673,0.40057853,,1.0325979,0.8398212,-0.17779392,0.5162946,0.55296934,0.3058681,-0.6121928,-0.50458115,-0.25136548,0.31426227,0.49333006,-0.7637624,-0.064656205,1.0631375,1.1541154,1.0034479,-1.2006325,0.7133462,0.13632937,0.09569627,0.05199894,-0.17029303,-0.43652463
ACH-000704,OAW42,0.7010786,0.5876564,0.48260733,0.26577815,1.0446512,0.41088626,0.11662785,0.1160387,1.1471097,0.12850533,0.31565067,0.073542945,0.154316,1.1622051,0.42046168,0.29368803,0.15563317,0.3033942,,0.2196431,0.55663055,0.81460327,0.40801695,-0.16145696,0.12927549,0.84034187,0.5232514,0.12614046,-0.046225555,0.7417359,0.6240822,0.72972906,0.019344157,0.31504726,0.863763,1.0288452,-0.5937119,0.2811209,,0.41039866,0.3724638,0.8494871
ACH-000713,CAOV3,0.04952684,-0.5403372,-0.14931953,-0.46451962,-0.6037125,-0.13465792,-0.21798708,-0.20179245,-1.135826,0.09713762,0.5439713,0.544987,0.4863405,0.18872686,-0.008785094,-1.0836209,-0.03877373,-1.0804751,-0.5156947,-0.9045585,0.2853561,0.27348417,-0.6482509,-0.89515984,0.06774814,0.86769605,0.21146332,-1.2062213,-0.66312516,0.52917826,-1.3305305,-1.3972275,-1.6843135,-1.4222358,-1.2816081,-1.7491055,0.33915815,-0.14592955,-1.5039576,-0.096524686,-0.28110534,0.034036133
ACH-000719,RMGI,0.06871353,-0.6812735,-0.5062012,-0.016391642,0.07923737,0.25158796,0.12760296,0.3119699,0.23116477,-0.059858292,0.012631951,-0.052292004,-0.03296562,-0.003427962,0.18417817,-0.22360496,0.077089906,-0.12012306,,-0.98910546,-0.8330205,-0.27344134,0.37644985,-0.5546964,-0.49102128,0.55634654,0.70805365,-0.124521494,-0.13231008,0.24748158,0.5991848,0.4846703,-1.5004462,-1.1432412,-0.4422652,0.3296802,-0.69195545,-0.026792629,,0.045581143,0.32559544,0.62424356
ACH-000796,MCAS,0.30298615,0.073462665,-0.56046534,0.15063584,0.2047284,0.033831555,0.014293002,0.18195024,0.30865404,0.6658663,0.20673454,-0.25107768,-0.16347045,0.3578955,0.024717843,0.28495118,0.1900482,-0.08534743,,0.2515514,-0.92252946,-1.7503142,-0.6845482,0.52797747,-0.3996395,-1.1589438,1.2316927,-0.03743144,0.27059576,0.6828626,0.23505417,0.66960233,-0.7627468,-0.9495854,-0.5579424,-1.2253661,-0.12898539,0.09994992,,-0.010272679,-0.087500006,-0.41038704
ACH-000811,SKOV3,-0.008690433,-0.17815506,-0.15634361,-0.09294545,0.5886441,0.015510713,-0.6736763,-0.40892598,0.069398895,0.45217782,-0.18963622,-0.77714425,-1.2523365,0.19548048,-0.13736552,0.017807545,-0.08012397,0.1710254,,0.9321951,1.0670092,1.0153605,0.63459474,0.4899974,0.6559012,0.07031405,-0.072982796,-0.4406341,-0.023056546,-0.20062764,-0.9752683,-0.62289596,0.073268905,0.9158319,0.7403116,0.3538406,0.04591609,-0.09432888,,-0.0967167,0.041463308,0.5394284
ACH-000885,TOV21G,0.061794993,-0.35955387,-0.34476894,-0.20069118,0.41931084,0.07954882,-0.25457022,-0.32308552,0.24978352,0.7120663,0.38149202,-0.028396657,-0.5880448,0.13361849,-0.001790343,0.5882042,-0.29933515,0.3813797,1.4861815,0.39065298,-0.12464246,0.8387687,-0.13154243,0.7804664,-0.045986272,-0.23302598,-0.31067815,0.7868405,-0.06453255,-0.30168,0.8247371,0.2780713,1.7878634,1.0974358,0.66052854,1.1757126,0.45018652,0.10062714,0.07824195,0.051040445,0.21836878,0.47727916
ACH-000947,OVK18,0.22371127,0.3514627,-0.0867833,-1.4762558,0.36011028,0.03699503,0.15319863,0.41428822,-0.07642089,0.15953381,-0.09026451,-0.30792433,-0.037559297,0.2614962,0.121803164,0.6260141,-0.008852911,0.3357486,2.4134288,0.71168303,0.2087192,0.14731425,0.28378168,0.60943943,-0.09078067,-0.05686564,0.14058037,0.6690857,-0.12555462,-0.22458746,0.3717023,0.3637877,0.97720355,0.7971927,0.67519546,1.0789635,-0.11513161,0.14463933,0.12760842,0.051043157,0.37344036,0.507554
ACH-001042,COLO704,0.13782534,0.8150385,0.3565811,0.48116142,-0.69260657,0.27370214,0.6617332,,-0.37593508,-0.008041918,0.4164727,0.7462085,1.0888506,0.06720173,-0.16952637,2.3862767,-0.1898424,1.8558308,,-0.51502156,0.1878899,0.8030808,0.25101236,-0.7328683,0.725877,0.9947065,0.26085064,-0.66472083,0.63241875,0.9166631,-0.98044795,0.13368891,1.1280407,1.6913656,2.186962,1.8155944,-0.7085812,0.0,,0.38663375,0.5400368,1.0476724
ACH-001151,OVCAR5,0.36718026,1.0287178,0.4743148,0.72049475,-0.11347985,-0.1034334,-0.08534198,-0.21287219,-0.31585643,1.1982067,1.0104568,0.79266125,0.45468557,0.32865587,0.14446682,2.8724697,-0.23149686,2.8688235,,0.36783427,0.32957292,0.44531915,0.33224428,-0.02751681,0.23006569,0.42908418,0.31179821,-0.36295968,0.43439266,0.79439163,-0.62196445,0.14156158,2.6389935,3.0018163,3.1093917,3.3503382,0.18298444,0.31543615,,0.2863922,0.35629308,0.3039247
